size	run_md	run_sv	bld_md	bld_sv
1,1	1.150865	0.0770738837083592	15.341896	0.0425499088992193
1,2	1.1391585	0.045530725805877	15.3656395	0.0369404047262043
1,4	0.776756	0.0426578923347133	15.5463975	0.0380933138007654
1,8	0.837841	0.027663937844058	15.5834475	0.0381837158992063
1,16	0.626216	0.0287813268055888	15.5035285	0.0435491939033885
1,32	0.529372	0.0268939895225688	15.4804825	0.0251099302513129
2,1	1.844067	0.0285396375723264	15.355215	0.0276392993188827
2,2	1.2829935	0.0192951381762222	15.6065365	0.0222738572492825
2,4	1.2493135	0.0217216266980596	15.660024	0.0219313740277712
2,8	0.881252	0.0141353924830548	15.568703	0.0364288738000929
2,16	0.7672005	0.0170631184221964	15.616942	0.0395008388105019
2,32	0.754997	0.0307623133102828	15.5996795	0.0390672461913437
4,1	1.2319375	0.0399288714386025	15.5401675	0.0388515884568496
4,2	1.1740845	0.0198452947833915	15.701154	0.0331014371484965
4,4	0.801356	0.0163296100088221	15.6659735	0.0299682226482251
4,8	0.637835	0.00960648890282479	15.6477915	0.0362578454025999
4,16	0.5925875	0.0164005687755009	15.645249	0.0128329743374319
4,32	0.5940865	0.0597533223679652	15.652848	0.0232378492162188
8,1	3.0971085	0.023493681405048	15.648599	0.0326231520387396
8,2	2.1314325	0.0234914272595375	15.63788	0.0297470503816277
8,4	1.7317715	0.0113913658250868	15.6994925	0.022086409486046
8,8	1.515555	0.0253863151670289	15.6576815	0.0226122329192703
8,16	1.3683435	0.0178633424912637	15.626953	0.0485640233365124
8,32	1.5758135	0.0159965986525065	15.6226225	0.0283402328260823
16,1	2.2076145	0.0176931679698181	15.5258965	0.0347700988033212
16,2	1.7407205	0.0351022805412786	15.617898	0.0209616963554847
16,4	1.5462335	0.0310887021832648	15.6628105	0.0288745198384785
16,8	1.430719	0.020944442834556	15.620855	0.0492286809885707
16,16	1.401882	0.0161029593432333	15.6569085	0.202049648975349
16,32	1.489769	0.0186675425980374	15.6225175	0.0500049331807371
32,1	0.401512	0.0201140931938278	15.5146735	0.0226752507548224
32,2	0.348463	0.0213146353684504	15.6227425	0.0400838904756906
32,4	0.300547	0.0211247798523437	15.6534865	0.0320909512887636
32,8	0.2959545	0.0217941605215708	15.6088335	0.037007183787407
32,16	0.3243755	0.0174836830742263	15.620728	0.0303694287637224
32,32	0.3800115	0.0265001216178351	15.6166175	0.0380371264901108
